sn,BN,TN,instructed_hand,instructed_finger,force_center,success,r1,r2,r3,r4,r5,l1,l2,l3,l4,l5,Br1,Br2,Br3,Br4,Br5,Bl1,Bl2,Bl3,Bl4,Bl5,MD_p,MD_r1,MD_r2,MD_r3,MD_r4,MD_r5,MD_l1,MD_l2,MD_l3,MD_l4,MD_l5
s101,1,1,1,2,0.6,True,0.0,0.6456135743569542,0.056233981607115936,0.07275937030390568,0.10960349766319916,1.0,1.0,1.0,1.0,1.0,0.0,0.05556207233626589,0.04785923753665689,0.06498533724340176,0.10842619745845553,1.0,1.0,1.0,1.0,1.0,0.004376522784691707,0.0,-1.0,0.006780982126880606,0.007154165442598643,0.0016704764488540656,0.0,0.0,0.0,0.0,0.0
s101,1,2,1,3,0.2,True,0.0,0.07659648969230097,0.2541787640487689,0.08066704600166325,0.10716699980060597,1.0,1.0,1.0,1.0,1.0,0.0,0.06877810361681329,0.056187683284457474,0.07788856304985338,0.1116715542521994,1.0,1.0,1.0,1.0,1.0,0.0046787640851642,0.0,0.006929374572336128,-1.0,0.004894746376083358,0.004800606263644489,0.0,0.0,0.0,0.0,0.0
s101,1,3,1,5,0.6,True,0.0,0.07080433609080695,0.06808090534619182,0.18382184872314866,0.7026402688415206,1.0,1.0,1.0,1.0,1.0,0.0,0.06318670576735093,0.06916911045943304,0.06842619745845552,0.10752688172043011,1.0,1.0,1.0,1.0,1.0,0.03755999165669285,0.0,0.006694739114426135,0.0020554117452486246,0.08967239194052178,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,4,1,5,0.2,True,0.0,0.06943289418012576,0.05846135889467618,0.10963754054750685,0.33497225504928924,1.0,1.0,1.0,1.0,1.0,0.0,0.06017595307917889,0.0469208211143695,0.06565004887585532,0.11835777126099707,1.0,1.0,1.0,1.0,1.0,0.019087948226995805,0.0,0.008108815867692671,0.010441068167106646,0.041699228438231484,-1.0,0.0,0.0,0.0,0.0,0.0
s101,1,5,1,2,0.6,True,0.0,0.6397290186409108,0.07195693088808158,0.08023421504403691,0.12503465079295606,1.0,1.0,1.0,1.0,1.0,0.0,0.06553274682306941,0.05767350928641251,0.0732355816226784,0.12512218963831867,1.0,1.0,1.0,1.0,1.0,0.005928734569904609,0.0,-1.0,0.01220010557607271,0.0065096152608204805,0.0015031078842407668,0.0,0.0,0.0,0.0,0.0
s101,1,6,1,2,0.2,True,0.0,0.26269921166406485,0.06143767963700558,0.07083351570592784,0.12293858177343975,1.0,1.0,1.0,1.0,1.0,0.0,0.07249266862170088,0.052238514173998045,0.06842619745845552,0.12645161290322582,1.0,1.0,1.0,1.0,1.0,0.004562797221346585,0.0,-1.0,0.008574465787527049,0.0032096825972255704,0.0027236385749002724,0.0,0.0,0.0,0.0,0.0
s101,1,7,1,1,0.2,True,0.19793019263409248,0.08650296902583855,0.0665878817058403,0.08347801559164102,0.1173944549004732,1.0,1.0,1.0,1.0,1.0,0.0,0.07925708699902248,0.06267839687194526,0.0713978494623656,0.12512218963831867,1.0,1.0,1.0,1.0,1.0,0.005751891239462018,-1.0,0.005613739472725642,0.003095497714090149,0.009308658412771642,0.006938667194111845,0.0,0.0,0.0,0.0,0.0
s101,1,8,1,4,0.2,True,0.0,0.07657703661555372,0.08126522811164122,0.2636475491554933,0.13301041225932897,1.0,1.0,1.0,1.0,1.0,0.0,0.07272727272727274,0.06447702834799608,0.0679960899315738,0.10518084066471163,1.0,1.0,1.0,1.0,1.0,0.010229316737507287,0.0,0.00322394035449009,0.013206758583530076,-1.0,0.02209419586415063,0.0,0.0,0.0,0.0,0.0
s101,1,9,1,3,0.2,True,0.0,0.08157647733959722,0.24016768552156129,0.0745539166338396,0.12329360042407707,1.0,1.0,1.0,1.0,1.0,0.0,0.07745845552297165,0.061153470185728254,0.06694037145650049,0.124613880742913,1.0,1.0,1.0,1.0,1.0,0.0033807445434666425,0.0,0.0036805767299373003,-1.0,0.006547202619888423,0.0013081627816901363,0.0,0.0,0.0,0.0,0.0
s101,1,10,1,4,0.2,True,0.0,0.07043959090179601,0.06775506631067536,0.2679953118085039,0.13084139420201046,1.0,1.0,1.0,1.0,1.0,0.0,0.07824046920821115,0.06346041055718475,0.06619745845552297,0.12218963831867058,1.0,1.0,1.0,1.0,1.0,0.006153752883270259,0.0,0.009007701113009317,0.005247433209744984,-1.0,0.006941444937708411,0.0,0.0,0.0,0.0,0.0
